year,section,min_date,max_date
1942,125,1942-03-02,1942-03-25
1943,125,1943-03-19,1943-03-19
1944,125,1944-03-09,1944-03-14
1945,125,1945-03-08,1945-03-14
1946,125,1946-03-09,1946-03-21
1947,125,1947-04-03,1947-04-09
1948,125,1948-03-17,1948-04-08
1949,125,1949-03-01,1949-03-25
1950,125,1950-03-15,1950-04-25
1951,125,1951-03-19,1951-04-01
1952,125,1952-03-06,1952-04-04
1953,125,1953-03-03,1953-04-20
1954,125,1954-03-05,1954-03-18
1955,125,1955-03-03,1955-03-10
1956,125,1956-03-03,1956-03-25
1957,125,0,0
1958,125,1958-03-07,1958-03-17
1959,125,1959-03-06,1959-03-06
1960,125,1960-02-28,1960-02-28
1961,125,1961-04-20,1961-04-20
1962,125,1962-03-10,1962-03-10
1963,125,0,0
1964,125,1964-03-17,1964-03-22
1965,125,1965-03-19,1965-03-19
1966,125,1966-03-18,1966-03-18
1967,125,1967-03-19,1967-03-26
1968,125,1968-03-23,1968-04-07
1969,125,1969-03-08,1969-04-08
1970,125,1970-02-27,1970-04-10
1971,125,1971-03-01,1971-03-29
1972,125,1972-02-22,1972-03-28
1973,125,1973-02-26,1973-04-09
1974,125,1974-03-19,1974-03-19
1975,125,1975-03-16,1975-04-05
1976,125,1976-02-23,1976-04-07
1977,125,1977-03-30,1977-03-30
1978,125,1978-03-22,1978-04-01
1979,125,1979-03-10,1979-03-10
1980,125,1980-03-31,1980-04-25
1981,125,1981-03-17,1981-03-19
1982,125,0,0
1983,125,0,0
1984,125,0,0
1985,125,1985-04-05,1985-04-05
1986,125,0,0
1937,126,1937-03-01,1937-03-01
1938,126,1938-02-28,1938-02-28
1939,126,1939-03-02,1939-03-25
1940,126,1940-03-24,1940-03-27
1941,126,1941-04-05,1941-04-18
1942,126,1942-03-18,1942-04-02
1943,126,1943-03-22,1943-03-23
1944,126,1944-03-16,1944-03-16
1945,126,1945-04-02,1945-04-03
1946,126,1946-03-21,1946-04-02
1947,126,1947-04-02,1947-04-02
1948,126,1948-03-31,1948-04-12
1949,126,1949-03-30,1949-03-30
1950,126,1950-04-03,1950-04-28
1951,126,1951-03-28,1951-03-29
1952,126,1952-04-10,1952-04-10
1953,126,1953-04-05,1953-04-05
1954,126,1954-03-20,1954-04-14
1955,126,1955-04-20,1955-04-20
1956,126,1956-04-10,1956-04-25
1957,126,1957-04-13,1957-04-25
1958,126,1958-03-20,1958-04-09
1959,126,1959-04-05,1959-04-18
1960,126,1960-04-04,1960-04-04
1961,126,1961-04-19,1961-04-20
1962,126,1962-04-27,1962-04-27
1963,126,0,0
1964,126,1964-03-24,1964-04-09
1965,126,0,0
1966,126,1966-03-27,1966-04-04
1967,126,1967-03-27,1967-05-01
1968,126,1968-03-24,1968-04-12
1969,126,1969-03-21,1969-03-28
1970,126,1970-03-19,1970-04-27
1971,126,1971-04-01,1971-04-20
1972,126,1972-03-04,1972-03-25
1973,126,1973-03-22,1973-03-25
1974,126,1974-03-24,1974-03-24
1975,126,1975-03-16,1975-04-08
1976,126,1976-03-20,1976-04-09
1977,126,1977-03-13,1977-04-01
1978,126,1978-03-14,1978-04-10
1979,126,1979-03-16,1979-04-05
1980,126,1980-03-20,1980-04-30
1981,126,1981-03-13,1981-04-12
1982,126,1982-03-16,1982-04-02
1983,126,1983-03-21,1983-04-06
1984,126,1984-03-09,1984-04-03
1985,126,1985-03-08,1985-04-05
1986,126,1986-03-23,1986-03-24
1937,127,1937-03-02,1937-03-02
1938,127,1938-02-26,1938-02-26
1939,127,1939-03-10,1939-03-10
1940,127,1940-03-26,1940-03-27
1941,127,1941-03-13,1941-04-04
